hip_id,ra,dec,mag
4283,13.720005,83.707436,5.59
4288,13.742085,23.628336,5.46
4292,13.750726,58.972698,4.83
4293,13.751266,-69.527084,5.45
4298,13.771710,48.678520,6.28
4317,13.811130,24.557062,6.19
4346,13.926661,-7.347149,5.88
4363,13.981396,-27.775839,6.11
4366,13.993799,27.209381,6.08
4371,14.006205,-11.266526,5.35
4382,14.038005,13.951960,6.46
4383,14.053966,57.996555,6.20
4422,14.166480,59.181057,4.62
4427,14.177145,60.716740,2.15
4436,14.188275,38.499344,3.86
4440,14.195655,60.362835,5.56
4446,14.229361,68.775658,6.39
4463,14.301675,23.417648,4.40
4475,14.331525,61.421894,6.44
4501,14.415180,45.839378,6.10
4510,14.458965,28.992216,5.44
4520,14.477130,13.695865,6.30
4552,14.559225,33.950886,5.99
4558,14.578725,21.404495,6.47
4563,14.592510,-60.696239,6.23
4572,14.629275,66.351791,5.97
4577,14.651490,-29.357449,4.30
4587,14.682779,-11.379975,5.62
4655,14.957025,6.483225,6.14
4675,15.014820,44.713242,5.69
4709,15.128805,70.982986,6.40
4770,15.326099,-38.916527,5.59
4786,15.362684,49.544220,6.48
4801,15.411015,-16.265574,6.47
4829,15.507570,-57.002388,6.12
4844,15.576945,51.034939,6.48
4852,15.610109,-31.552006,5.50
4879,15.678751,-65.456100,6.25
4889,15.704564,31.804262,5.50
4890,15.704954,-46.397312,5.39
4903,15.726105,41.345158,5.95
4906,15.735869,7.890135,4.27
4911,15.756346,47.376160,6.46
4914,15.760574,-4.836601,5.40
4932,15.823771,-29.525848,6.28
4962,15.904200,61.074821,5.92
4979,15.954286,1.366846,6.06
4998,16.009951,52.502159,5.99
5021,16.081259,61.580185,5.83
5034,16.115086,29.658806,6.20
5042,16.135754,-33.532845,6.44
5074,16.219320,5.656262,6.03
5081,16.272314,14.946133,5.64
5121,16.403687,-9.979323,6.09
5131,16.420635,21.473181,5.33
5132,16.423784,21.465443,5.55
5141,16.455120,4.908372,6.35
5165,16.521107,-46.718414,3.32
5164,16.521450,-9.839354,5.58
5170,16.532116,-23.992451,6.12
5175,16.546665,32.181484,6.28
